Location:     5.950270   51.987380

year mo dy   hr mi    second                    JD
2045  7 16    6  2 49.217348   2468177.75195853412
2042  5  3   15 42 29.210273   2467008.15450474853
2107  5  6   12 31  4.435190   2490751.02157911099
2029  9 21   10 16 39.826267   2462400.92823872995
2058  8  5   11 13 22.577032   2472945.96762241935
2070  5 17    6 46 11.031198   2477248.78207212035
2027  9 30    8 39 11.160063   2461678.86054583406
2056 12 19   14  3 15.155825   2472352.08559208130
2024  9 12   10 16 21.307156   2460565.92802438838
2023 11 25   15 27 33.302559   2460274.14413544629
2102  3 13   11 10 43.293446   2488870.96577885933
2080  9 25    9 58 44.911599   2481032.91579758795
2105 10  8   11 47 45.817501   2490175.99150251737
2054  3 21    9 10 32.599787   2471347.88232175680
2051 10  2   15 50 32.595581   2470447.16009948589
2053  6 20   10 50 55.210935   2471073.95202790434
2056  3 29   16 27  2.340211   2472087.18544375245
2053  9  2   14 15 42.375147   2471148.09424045309
2032  5 24   14 11 21.417722   2463377.09122011252
2079  9  9   13 58 19.405669   2480651.08216904709
2113  8  8   17 19  2.038317   2493037.22155136941
2041  8 17   10 44 27.016500   2466748.94753491320
2081  7 26    6 17 15.508364   2481336.76198505051
2052  3 24   14  4 31.328294   2470621.08647370711
2113  4 22   13 49 13.901245   2492929.07585533848
2057  9 19    9 42 56.872323   2472625.90482491115
2029  1 19    9  8 35.892635   2462155.88097097958
2101 10 26    7 35 18.884329   2488732.81619079085
2113  9 22    9 25  2.195513   2493081.89238652214
2025  7 19   10  0 57.489234   2460875.91733205132
2113 10 16   15 50  5.092652   2493106.15978116496
2108  7  6    9  7  5.466491   2491177.87992438069
2092  5 29   17 59 32.178867   2485297.24967799615
2065  3  8   13 12  0.005094   2475353.05000005895
2097  6 15   19 20 16.390733   2487140.30574526312
2061  5 23   15 24  0.432179   2473968.14167166874
2077  5 20   18  2 23.520686   2479809.25166111905
2039 10  4   12 40 38.476574   2466066.02822310850
2095 12 31   10  9  8.600994   2486607.92301621521
2115  9 17   11 43 30.004565   2493806.98854171950
2064  7 17    5 56 33.123190   2475118.74760559248
2095  4 24    8  9 16.775106   2486356.83977748966
2064  2 21    8 10 53.624430   2474971.84089843091
2056  2 13   10 50 43.130212   2472041.95188808115
2048  5 29   15  8 36.980217   2469226.13098356733
2045  5 30   19 10 22.765589   2468131.29887460172
2043 10 28    9 16 25.244344   2467550.88640329102
2073 12 25   14  2 19.283547   2478567.08494541142
2060  8 24    6 30 46.237421   2473695.77136848867
2098  5 18   11 43 39.030386   2487476.98864618503
2101  8 15    9 40 12.308460   2488660.90292023681
2041  9 21   14 43  8.978045   2466784.11329835700
2029  7  2   11 49 56.964164   2462319.99302041857
2089  5 18    4 24 18.453472   2484189.68354691518
2074  8 29   14 54  3.061441   2478814.12086876668
2054  2 15    9 53 45.023344   2471313.91232665908
2046  4 16    7 11  2.472716   2468451.79933417495
2033  8  2   15 12 33.861894   2463812.13372525340
2063  6  2   16 52 48.761556   2474708.20334214764
2019  7  7   18 34  5.766373   2458672.27367785154
2027  2  2    7 44 31.724381   2461438.82258940255
2063  9 12   16 12 32.136040   2474810.17537194490
2070  7 31   17 16  1.662349   2477324.21946368460
2051  7  5    8 17  5.234967   2470357.84519947879
2092  2  8   12 39 32.162390   2485186.02745558321
2080  7 10   17 23 48.088506   2480956.22486213548
2097  4 11   17 37 50.826361   2487075.23461604584
2096  6  3   16 37 13.409478   2486763.19251631340
2098  7  1    4 11  1.312513   2487520.67432074668
2067 12 22   12  2 10.537212   2476372.00151084736
2063 10 21   13 13 46.863013   2474849.05123684043
2049  2 20   11  2  5.331943   2469492.95978393452
2107  5  4   15 59 56.134628   2490749.16662192857
2060  9 19   14 36 33.069752   2473722.10871608509
2101 11  1   11  7 37.716300   2488738.96363097569
2053 12 17    8 30 43.978344   2471253.85467567528
2103  4 24   16  2 51.640134   2489278.16865324229
2022  2 20   10 31 41.996671   2459630.93868051702
2077  8 28   14 34 21.006698   2479909.10718757752
2056  4 28   10 24 13.298481   2472116.93348725094
2018  4  1   17 51  1.682501   2458210.24376947340
2114  4 16    5 58  7.906703   2493287.74870262388
2058  6  6    7 49  6.160872   2472885.82576575084
2055  5 26   17 16 41.937930   2471779.21992983716
2062  8 15   17 39 23.805418   2474417.23569219233
2099  2  6   14 35 51.756236   2487741.10823791940
2108  5 13   18 53 36.883940   2491124.28723245300
2038  7 15   13 23 27.715023   2465620.05795966461
2043  4 30   15 14 34.078421   2467370.13511664839
2046 10  2   13 58 23.647126   2468621.08221813804
2082  5 31   16 34 24.566258   2481646.19056210946
2080  8 21   17 37  8.619508   2480998.23412754061
2095  4 26    8  6 11.605401   2486358.83763432177
2045  9  3   17 31  7.691633   2468227.22995013464
2048 11 30   10  3 22.180624   2469410.91900672019
2069  8 19   11 14 11.440819   2476977.96818797244
2064  8 25   14 57 16.619836   2475158.12310902588
2088 10 10    6 35 24.827823   2483969.77459291462
2116  2 19    7 35 54.587093   2493961.81660401728
2045  2 26   15 30  9.247962   2468038.14594036993
