2042  7 16    6  2 49.217348   2467081.75195853412
2039  5  3   15 42 29.210273   2465912.15450474853
2104  5  5   12 31  4.435190   2489655.02157911099
2026  9 21   10 16 39.826267   2461304.92823872995
2055  8  5   11 13 22.577032   2471849.96762241935
2067  5 17    6 46 11.031198   2476152.78207212035
2024  9 29    8 39 11.160063   2460582.86054583406
2053 12 19   14  3 15.155825   2471256.08559208130
2021  9 12   10 16 21.307156   2459469.92802438838
2020 11 24   15 27 33.302559   2459178.14413544629
2099  3 12   11 10 43.293446   2487774.96577885933
2077  9 25    9 58 44.911599   2479936.91579758795
2102 10  8   11 47 45.817501   2489079.99150251737
2051  3 21    9 10 32.599787   2470251.88232175680
2048 10  1   15 50 32.595581   2469351.16009948589
2050  6 20   10 50 55.210935   2469977.95202790434
2053  3 29   16 27  2.340211   2470991.18544375245
2050  9  2   14 15 42.375147   2470052.09424045309
2029  5 24   14 11 21.417722   2462281.09122011252
2076  9  8   13 58 19.405669   2479555.08216904709
2110  8  8   17 19  2.038317   2491941.22155136941
2038  8 17   10 44 27.016500   2465652.94753491320
2078  7 26    6 17 15.508364   2480240.76198505051
2049  3 24   14  4 31.328294   2469525.08647370711
2110  4 22   13 49 13.901245   2491833.07585533848
2054  9 19    9 42 56.872323   2471529.90482491115
2026  1 19    9  8 35.892635   2461059.88097097958
2098 10 25    7 35 18.884329   2487636.81619079085
2110  9 22    9 25  2.195513   2491985.89238652214
2022  7 19   10  0 57.489234   2459779.91733205132
2110 10 16   15 50  5.092652   2492010.15978116496
2105  7  6    9  7  5.466491   2490081.87992438069
2089  5 29   17 59 32.178867   2484201.24967799615
2062  3  8   13 12  0.005094   2474257.05000005895
2094  6 15   19 20 16.390733   2486044.30574526312
2058  5 23   15 24  0.432179   2472872.14167166874
2074  5 20   18  2 23.520686   2478713.25166111905
2036 10  3   12 40 38.476574   2464970.02822310850
2092 12 30   10  9  8.600994   2485511.92301621521
2112  9 16   11 43 30.004565   2492710.98854171950
2061  7 17    5 56 33.123190   2474022.74760559248
2092  4 23    8  9 16.775106   2485260.83977748966
2061  2 20    8 10 53.624430   2473875.84089843091
2053  2 12   10 50 43.130212   2470945.95188808115
2045  5 29   15  8 36.980217   2468130.13098356733
2042  5 30   19 10 22.765589   2467035.29887460172
2040 10 27    9 16 25.244344   2466454.88640329102
2070 12 25   14  2 19.283547   2477471.08494541142
2057  8 24    6 30 46.237421   2472599.77136848867
2095  5 18   11 43 39.030386   2486380.98864618503
2098  8 14    9 40 12.308460   2487564.90292023681
2038  9 21   14 43  8.978045   2465688.11329835700
2026  7  2   11 49 56.964164   2461223.99302041857
2086  5 18    4 24 18.453472   2483093.68354691518
2071  8 29   14 54  3.061441   2477718.12086876668
2051  2 15    9 53 45.023344   2470217.91232665908
2043  4 16    7 11  2.472716   2467355.79933417495
2030  8  2   15 12 33.861894   2462716.13372525340
2060  6  1   16 52 48.761556   2473612.20334214764
2016  7  6   18 34  5.766373   2457576.27367785154
2024  2  2    7 44 31.724381   2460342.82258940255
2060  9 11   16 12 32.136040   2473714.17537194490
2067  7 31   17 16  1.662349   2476228.21946368460
2048  7  4    8 17  5.234967   2469261.84519947879
2089  2  7   12 39 32.162390   2484090.02745558321
2077  7 10   17 23 48.088506   2479860.22486213548
2094  4 11   17 37 50.826361   2485979.23461604584
2093  6  3   16 37 13.409478   2485667.19251631340
2095  7  1    4 11  1.312513   2486424.67432074668
2064 12 21   12  2 10.537212   2475276.00151084736
2060 10 20   13 13 46.863013   2473753.05123684043
2046  2 20   11  2  5.331943   2468396.95978393452
2104  5  3   15 59 56.134628   2489653.16662192857
2057  9 19   14 36 33.069752   2472626.10871608509
2098 10 31   11  7 37.716300   2487642.96363097569
2050 12 17    8 30 43.978344   2470157.85467567528
2100  4 23   16  2 51.640134   2488182.16865324229
2019  2 20   10 31 41.996671   2458534.93868051702
2074  8 28   14 34 21.006698   2478813.10718757752
2053  4 28   10 24 13.298481   2471020.93348725094
2015  4  1   17 51  1.682501   2457114.24376947340
2111  4 16    5 58  7.906703   2492191.74870262388
2055  6  6    7 49  6.160872   2471789.82576575084
2052  5 25   17 16 41.937930   2470683.21992983716
2059  8 15   17 39 23.805418   2473321.23569219233
2096  2  6   14 35 51.756236   2486645.10823791940
2105  5 13   18 53 36.883940   2490028.28723245300
2035  7 15   13 23 27.715023   2464524.05795966461
2040  4 29   15 14 34.078421   2466274.13511664839
2043 10  2   13 58 23.647126   2467525.08221813804
2079  5 31   16 34 24.566258   2480550.19056210946
2077  8 21   17 37  8.619508   2479902.23412754061
2092  4 25    8  6 11.605401   2485262.83763432177
2042  9  3   17 31  7.691633   2467131.22995013464
2045 11 30   10  3 22.180624   2468314.91900672019
2066  8 19   11 14 11.440819   2475881.96818797244
2061  8 25   14 57 16.619836   2474062.12310902588
2085 10 10    6 35 24.827823   2482873.77459291462
2113  2 18    7 35 54.587093   2492865.81660401728
2042  2 26   15 30  9.247962   2466942.14594036993
